3CB

DESCRIPTION                             CLASSNAME
Javelin CLU                             UK3CB_BAF_Javelin_CLU

--- Sights ------------------------------------------------------------------------
ELCAN LDS                               UK3CB_BAF_SpecterLDS
ELCAN LDS (3D)                          UK3CB_BAF_SpecterLDS_3D
ELCAN LDS Reflex                        UK3CB_BAF_SpecterLDS_Dot
ELCAN LDS Reflex (3D)                   UK3CB_BAF_SpecterLDS_Dot_3D
Eotech 553 HWS                          UK3CB_BAF_Eotech
SB 3-12x50                              UK3CB_BAF_SB31250
SB 3-12x50 (Desert)                     UK3CB_BAF_SB31250_Desert
SB 3-12x50 (Desert/Ghillie)             UK3CB_BAF_SB31250_Desert_Ghillie
SB 3-12x50 (Ghillie)                    UK3CB_BAF_SB31250_Ghillie
SUSAT L9A1                              UK3CB_BAF_SUSAT
SUSAT L9A1 (3D)                         UK3CB_BAF_SUSAT_3D
Trijicon ACOG TA31F                     UK3CB_BAF_TA31F
Trijicon ACOG TA31F (3D)                UK3CB_BAF_TA31F_3D
Trijicon ACOG TA31F Hornbill            UK3CB_BAF_TA31F_Hornbill
Trijicon ACOG TA31F Hornbill (3D)       UK3CB_BAF_TA31F_Hornbill_3D
Trijicon ACOG TA648RMR                  UK3CB_BAF_TA648
Trijicon ACOG TA648RMR-308              UK3CB_BAF_TA648_308

--- Accessories -------------------------------------------------------------------
Blank Fire Adaptor (L110)               UK3CB_BAF_BFA_L110
Blank Fire Adaptor (L129)               UK3CB_BAF_BFA_L129
Blank Fire Adaptor (L7)                 UK3CB_BAF_BFA_L7
Blank Fire Adaptor (L85)                UK3CB_BAF_BFA_L85
Flashlight (L131A1)                     UK3CB_BAF_Flashlight_L131A1
LLM Mk3 Flashlight (Black)              UK3CB_BAF_LLM_Flashlight_Black
LLM Mk3 Flashlight (Tan)                UK3CB_BAF_LLM_Flashlight_Tan
LLM Mk3 IR (Black)                      UK3CB_BAF_LLM_IR_Black
LLM Mk3 IR (Tan)                        UK3CB_BAF_LLM_IR_Tan
Silencer (L110)                         UK3CB_BAF_Silencer_L110
Silencer (L115 / L129)                  UK3CB_BAF_Silencer_L115A3
Silencer (L85)                          UK3CB_BAF_Silencer_L85
Silencer (L91)                          UK3CB_BAF_Silencer_L91A1
Surefire Flash Hider                    UK3CB_BAF_SFFH

--- Ammunition -------------------------------------------------------------------
5.56mm 30rnd STANAG Mag                 UK3CB_BAF_30Rnd
5.56mm 30rnd Blank STANAG Mag           UK3CB_BAF_30Rnd_Blank
5.56mm 30rnd Tracer STANAG Mag          UK3CB_BAF_30Rnd_T
5.56mm 100rnd STANAG Boxmag             UK3CB_BAF_100Rnd
5.56mm 100rnd Tracer STANAG Boxmag      UK3CB_BAF_100Rnd_T
5.56mm 200rnd STANAG Boxmag             UK3CB_BAF_200Rnd
5.56mm 200rnd Blank STANAG Boxmag       UK3CB_BAF_200Rnd_Blank
5.56mm 200rnd Tracer STANAG Boxmag      UK3CB_BAF_200Rnd_T
7.62mm 20rnd Mag                        UK3CB_BAF_20Rnd
7.62mm 20rnd Blank Mag                  UK3CB_BAF_20Rnd_Blank
7.62mm 20rnd Tracer Mag                 UK3CB_BAF_20Rnd_T
7.62mm 75rnd Belt                       UK3CB_BAF_75Rnd
7.62mm 75rnd Blank Belt                 UK3CB_BAF_75Rnd_Blank
7.62mm 75rnd Tracer Belt                UK3CB_BAF_75Rnd_T
9mm 17rnd Mag                           UK3CB_BAF_17Rnd_9mm
9mm 30rnd Mag                           UK3CB_BAF_30Rnd_9mm
12.7mm 10rnd Mag                        UK3CB_BAF_10Rnd_127x99mm
12.7mm 10rnd SLAP Mag                   UK3CB_BAF_10Rnd_127x99mm_SLAP
.338 5rnd Lapua Magnum Mag              UK3CB_BAF_L115A3_Mag
12G 8rnd Buckshot                       UK3CB_BAF_L128A1_Pellets
12G 8rnd Slug                           UK3CB_BAF_L128A1_Slugs
40mm HEDP Grenade Round                 UK3CB_BAF_1Rnd_HEDP_Grenade_shell

--- Boxes ----------------------------------------------------------------------
Basic Weapons                           UK3CB_BAF_Box_WpsBasic
Special Weapons                         UK3CB_BAF_Box_WpsSpecial
Launchers                               UK3CB_BAF_Box_WpsLaunch
